scenario_question_id,scenario_id,question_text_sha256,question_provenance_id,provenance_version,mapping_basis,evidence_rationale,review_status,reviewed_by,reviewed_at,notes
"3209f970-5b0e-46ba-82dc-657ed4f56c59","charging-system","030d2cee662fd5c91fb70cb9cc8bf15f2db4c2c7aae8e39c6dc7c26bc2e0cf36","","","no_authoritative_join_key","scenario_questions.question_id is NULL; no reviewed crosswalk or immutable linkage to question_provenance exists.","unmapped","","","Review-only baseline generated from approved hash-only staging export at 2026-09-04T23:05:54Z."
"4033f39f-2b1a-4113-b0a4-b787c5eb8993","charging-system","3c568c1595e63f2430edb04588567b3671bc6db92aa31275278546ad3f209d77","","","no_authoritative_join_key","scenario_questions.question_id is NULL; no reviewed crosswalk or immutable linkage to question_provenance exists.","unmapped","","","Review-only baseline generated from approved hash-only staging export at 2026-09-04T23:05:54Z."
"5211f0a9-0bc7-4f10-958e-cff9c9f99700","charging-system","1e5a879d0a6b2aa33914b4a4fb742f31c919ebdd9ab219f4138defeb9c235a7d","","","no_authoritative_join_key","scenario_questions.question_id is NULL; no reviewed crosswalk or immutable linkage to question_provenance exists.","unmapped","","","Review-only baseline generated from approved hash-only staging export at 2026-09-04T23:05:54Z."
"7018de21-81de-40be-a1e9-c7a95ec125f2","charging-system","12e89f0637bd1a7e6694755f85e7248fe5fb4189dd297dad68076a2880e99671","","","no_authoritative_join_key","scenario_questions.question_id is NULL; no reviewed crosswalk or immutable linkage to question_provenance exists.","unmapped","","","Review-only baseline generated from approved hash-only staging export at 2026-09-04T23:05:54Z."
"70626b58-9f30-4207-99c1-c94379c7c33d","charging-system","ce167b20e0a5c1e48607a831ae6bad408ce66e75de3d5189783537ef93124db5","","","no_authoritative_join_key","scenario_questions.question_id is NULL; no reviewed crosswalk or immutable linkage to question_provenance exists.","unmapped","","","Review-only baseline generated from approved hash-only staging export at 2026-09-04T23:05:54Z."
"79767560-29e2-4534-bfd3-1f04c6065cfb","charging-system","2b38f8df0c4be0df3bc1dcf18577bcba89a9883011a210b32ec691a4b6428248","","","no_authoritative_join_key","scenario_questions.question_id is NULL; no reviewed crosswalk or immutable linkage to question_provenance exists.","unmapped","","","Review-only baseline generated from approved hash-only staging export at 2026-09-04T23:05:54Z."
"8aad5031-64f6-46db-996f-938aa05e26fb","charging-system","ac2dd6e6df555a542f74df71ea80fd7711132a5aeeadc03e165902c100e208d4","","","no_authoritative_join_key","scenario_questions.question_id is NULL; no reviewed crosswalk or immutable linkage to question_provenance exists.","unmapped","","","Review-only baseline generated from approved hash-only staging export at 2026-09-04T23:05:54Z."
"a7234c9e-a9a2-479c-baf2-3538b7f007c2","charging-system","9587c72f74939a19c6786346d31928c2433bbc2b7561c08beb08ae594cc8e5b0","","","no_authoritative_join_key","scenario_questions.question_id is NULL; no reviewed crosswalk or immutable linkage to question_provenance exists.","unmapped","","","Review-only baseline generated from approved hash-only staging export at 2026-09-04T23:05:54Z."
"a768f95d-2f6b-4f0b-bffc-6bf1610ee414","charging-system","78a119ee02aa3931051792e5ac146b6918f46df7e8ce532c7cb9c4162577c8ce","","","no_authoritative_join_key","scenario_questions.question_id is NULL; no reviewed crosswalk or immutable linkage to question_provenance exists.","unmapped","","","Review-only baseline generated from approved hash-only staging export at 2026-09-04T23:05:54Z."
"b9e82aaa-3a4c-4e7e-8e77-d206427f654b","charging-system","2896a8180d5f61e7481a508d85e4bb806007213c079e87d5d600adb27955a54f","","","no_authoritative_join_key","scenario_questions.question_id is NULL; no reviewed crosswalk or immutable linkage to question_provenance exists.","unmapped","","","Review-only baseline generated from approved hash-only staging export at 2026-09-04T23:05:54Z."
"ce4d19c7-5fea-4713-90a0-b891b5e4d005","charging-system","42967b9f9dd1497161c43ffef4d2f060a5ad85ab5053fe5745763e9f86645b04","","","no_authoritative_join_key","scenario_questions.question_id is NULL; no reviewed crosswalk or immutable linkage to question_provenance exists.","unmapped","","","Review-only baseline generated from approved hash-only staging export at 2026-09-04T23:05:54Z."
"041d7f01-ed27-4dbf-86d4-431385810509","no-crank","222fcf3872b12f8e8bf16f4529514e1bb156867208160b60f28777f8a0898640","","","no_authoritative_join_key","scenario_questions.question_id is NULL; no reviewed crosswalk or immutable linkage to question_provenance exists.","unmapped","","","Review-only baseline generated from approved hash-only staging export at 2026-09-04T23:05:54Z."
"1301f7da-c3cd-4ff5-a67a-bcd0f7fadd1e","no-crank","c4b201f17e50e61970efe59d15c120b62890b615f159ea27982f94e6a31d4a8d","","","no_authoritative_join_key","scenario_questions.question_id is NULL; no reviewed crosswalk or immutable linkage to question_provenance exists.","unmapped","","","Review-only baseline generated from approved hash-only staging export at 2026-09-04T23:05:54Z."
"335908aa-b3cf-4e19-b60d-b154e19e8c72","no-crank","6522dbbf20ef33bf8a4259c1db4773073be9dd75ed1c3f890bcea3ba1cd1c755","","","no_authoritative_join_key","scenario_questions.question_id is NULL; no reviewed crosswalk or immutable linkage to question_provenance exists.","unmapped","","","Review-only baseline generated from approved hash-only staging export at 2026-09-04T23:05:54Z."
"4260abf2-4cb1-4809-a32b-1075aff67609","no-crank","88236989b2c4f6e30ae694e1b0ebaaeeb1252ef0c927f6368c5577be6ca77222","","","no_authoritative_join_key","scenario_questions.question_id is NULL; no reviewed crosswalk or immutable linkage to question_provenance exists.","unmapped","","","Review-only baseline generated from approved hash-only staging export at 2026-09-04T23:05:54Z."
"46cd745e-32aa-4057-a635-ba2bb12a7659","no-crank","996eb0bfc251bfc59c0f709e08a2beb10963fe90fcd50d0f8a4071685cdf9bd6","","","no_authoritative_join_key","scenario_questions.question_id is NULL; no reviewed crosswalk or immutable linkage to question_provenance exists.","unmapped","","","Review-only baseline generated from approved hash-only staging export at 2026-09-04T23:05:54Z."
"98bb2e65-b9d3-4be3-9e9a-c95078c5bd02","no-crank","0cd2f0c49fd533b2a8725a6fde6cbae9f88fa0998c888a99dc0a27867ab979c4","","","no_authoritative_join_key","scenario_questions.question_id is NULL; no reviewed crosswalk or immutable linkage to question_provenance exists.","unmapped","","","Review-only baseline generated from approved hash-only staging export at 2026-09-04T23:05:54Z."
"a1b15718-eb06-4858-9a4b-014f2701d63f","no-crank","5099bdb9001f35d4ee248b56dcc7f876e5c90e0ad5601562dce5507845e6c41b","","","no_authoritative_join_key","scenario_questions.question_id is NULL; no reviewed crosswalk or immutable linkage to question_provenance exists.","unmapped","","","Review-only baseline generated from approved hash-only staging export at 2026-09-04T23:05:54Z."
